"locationid","latitude","longitude","CSUMPRE","CSUMPET","CPOVRPR","CSUMGDD1","CAvgMinT","CAvgMaxT","LTNSUMP","LTNSPET","LTNASPO","LTAvgMnT","LTAvgMxT","DFLTSUM","DFLTMinT","DFLTMaxT","DFLTPVP","shapewkt"
10211452,0.875,39.292,0,123.546,0,525.43,23.784,31.245,0.635,154.407,0.005,23.997,32.069,-0.635,-0.213,-0.824,-0.005,"POLYGON ((39.249999122999952 0.8333331039999905, 39.333332455999951 0.8333331039999905, 39.333332455999951 0.91666643699999051, 39.249999122999952 0.91666643699999051, 39.249999122999952 0.8333331039999905))"
10212071,1.125,38.042,4.9,108.799,0.045,449.92,21.176,28.818,2.744,143.233,0.021,21.514,29.767,2.156,-0.337,-0.949,0.024,"POLYGON ((37.999999127999956 1.0833331029999869, 38.083332460999955 1.0833331029999869, 38.083332460999955 1.1666664359999868, 37.999999127999956 1.1666664359999868, 37.999999127999956 1.0833331029999869))"
10213827,2.208,39.458,0,130.952,0,526.03,23.09,31.979,3.908,158.726,0.026,24.006,31.958,-3.908,-0.916,0.021,-0.026,"POLYGON ((39.41666578899995 2.1666664319999853, 39.499999121999949 2.1666664319999853, 39.499999121999949 2.2499997649999854, 39.41666578899995 2.2499997649999854, 39.41666578899995 2.1666664319999853))"
10213893,1.708,39.208,0.15,127.915,0.001,525.93,23.356,31.706,0.023,159.446,0,24.04,31.984,0.127,-0.685,-0.277,0.001,"POLYGON ((39.166665789999939 1.6666664339999855, 39.249999122999938 1.6666664339999855, 39.249999122999938 1.7499997669999854, 39.166665789999939 1.7499997669999854, 39.166665789999939 1.6666664339999855))"
10215040,1.792,38.292,3.525,120.057,0.029,506.4,22.83,30.93,0.671,154.868,0.005,23.398,31.21,2.854,-0.568,-0.28,0.025,"POLYGON ((38.249999126999938 1.7499997669999843, 38.333332459999937 1.7499997669999843, 38.333332459999937 1.8333330999999842, 38.249999126999938 1.8333330999999842, 38.249999126999938 1.7499997669999843))"
10215795,3.792,36.375,39.575,122.25,0.324,556.48,24.119,32.987,6.921,172.04,0.037,24.058,32.996,32.654,0.062,-0.008,0.286,"POLYGON ((36.333332467999952 3.7499997589999836, 36.416665800999951 3.7499997589999836, 36.416665800999951 3.8333330919999837, 36.333332467999952 3.8333330919999837, 36.333332467999952 3.7499997589999836))"
10215802,3.125,39.958,1.275,133.609,0.01,494.675,21.679,31.29,7.363,154.123,0.052,22.811,30.983,-6.088,-1.132,0.307,-0.042,"POLYGON ((39.916665786999943 3.0833330949999862, 39.999999119999941 3.0833330949999862, 39.999999119999941 3.1666664279999863, 39.916665786999943 3.1666664279999863, 39.916665786999943 3.0833330949999862))"
10217215,1.625,39.458,0,128.951,0,530.89,23.511,31.882,0.51,158.873,0.004,24.2,32.215,-0.51,-0.689,-0.334,-0.004,"POLYGON ((39.41666578899995 1.5833331009999867, 39.499999121999949 1.5833331009999867, 39.499999121999949 1.6666664339999866, 39.41666578899995 1.6666664339999866, 39.41666578899995 1.5833331009999867))"
10218005,1.625,39.875,0.964,130.856,0.007,539.82,23.747,32.241,7.569,160.516,0.047,24.501,32.601,-6.604,-0.754,-0.36,-0.04,"POLYGON ((39.833332453999958 1.5833331009999867, 39.916665786999957 1.5833331009999867, 39.916665786999957 1.6666664339999866, 39.833332453999958 1.6666664339999866, 39.833332453999958 1.5833331009999867))"
10218564,0.958,40.042,0.175,128.699,0.001,543.355,24.237,31.972,6.415,157.962,0.044,24.572,32.652,-6.24,-0.335,-0.681,-0.042,"POLYGON ((39.999999119999956 0.91666643699998929, 40.083332452999954 0.91666643699998929, 40.083332452999954 0.9999997699999893, 39.999999119999956 0.9999997699999893, 39.999999119999956 0.91666643699998929))"
10220163,3.875,36.458,18.9,122.418,0.154,544.23,23.643,32.639,7.587,170.415,0.042,23.597,32.55,11.313,0.046,0.089,0.113,"POLYGON ((36.416665800999965 3.8333330919999895, 36.499999133999964 3.8333330919999895, 36.499999133999964 3.9166664249999896, 36.416665800999965 3.9166664249999896, 36.416665800999965 3.8333330919999895))"
10221958,1.958,36.542,92.325,107.629,0.858,470.495,21.503,29.863,17.508,140.298,0.104,21.75,30.576,74.817,-0.247,-0.712,0.753,"POLYGON ((36.49999913399995 1.916666432999989, 36.583332466999948 1.916666432999989, 36.583332466999948 1.9999997659999889, 36.49999913399995 1.9999997659999889, 36.49999913399995 1.916666432999989))"
10226180,4.208,36.292,16.725,124.88,0.134,562.87,24.34,33.213,12.318,172.733,0.073,24.077,33.022,4.407,0.264,0.191,0.061,"POLYGON ((36.249999134999939 4.1666664239999847, 36.333332467999938 4.1666664239999847, 36.333332467999938 4.2499997569999843, 36.249999134999939 4.2499997569999843, 36.249999134999939 4.1666664239999847))"
10227617,3.208,39.042,7.975,131.767,0.061,499.395,21.934,31.359,8.032,153.467,0.054,22.874,30.767,-0.057,-0.939,0.591,0.006,"POLYGON ((38.999999123999942 3.166666427999985, 39.083332456999941 3.166666427999985, 39.083332456999941 3.2499997609999851, 38.999999123999942 3.2499997609999851, 38.999999123999942 3.166666427999985))"
